S.no.,Name,Runs,Matches,Innings,Not out,Highest Score,Average,Balls Faced,Strike rate,100,50,4s,6s
61,"Rahul Tripathi
",165,6,6,0,55,27.5,115,143.47,0,1,18,6
62,"Angkrish Raghuvanshi
",163,10,7,0,54,23.29,105,155.23,0,1,16,8
63,"MS Dhoni
",161,14,11,8,37*,53.67,73,220.54,0,0,14,13
64,"Shikhar Dhawan
",152,5,5,0,70,30.4,121,125.61,0,1,18,4
65,"Deepak Hooda
",145,11,9,1,50,18.13,105,138.09,0,1,16,3
66,"Naman Dhir
",140,7,7,1,62*,23.33,79,177.21,0,1,12,10
67,"Pat Cummins
",136,16,10,4,35*,22.67,95,143.15,0,0,9,8
68,"Wriddhiman Saha
",136,9,9,0,39,15.11,115,118.26,0,0,18,3
69,"Krunal Pandya
",133,14,12,8,43*,33.25,105,126.66,0,0,8,5
70,"Moeen Ali
",128,8,5,0,56,25.6,98,130.61,0,1,7,8
71,"Shahrukh Khan
",127,7,7,0,58,18.14,75,169.33,0,1,9,9
72,"Ramandeep Singh
",125,15,9,5,35,31.25,62,201.61,0,0,5,12
73,"Mahipal Lomror
",125,10,10,2,33,15.63,68,183.82,0,0,9,9
74,"Shimron Hetmyer
",113,12,9,4,27*,22.6,69,163.76,0,0,9,7
75,"Liam Livingstone
",111,7,7,2,38*,22.2,78,142.3,0,0,8,7
76,"Nehal Wadhera
",109,6,6,0,49,18.17,84,129.76,0,0,9,6
77,"Rovman Powell
",103,10,7,1,27,17.17,68,151.47,0,0,10,6
78,"Rashid Khan
",102,12,8,3,31,20.4,71,143.66,0,0,11,3
79,"Anuj Rawat
",98,5,5,1,48,24.5,77,127.27,0,0,10,3
80,"Ravichandran Ashwin
",86,15,9,3,29,14.33,74,116.21,0,0,5,4
81,"Arshad Khan
",83,4,4,2,58*,41.5,54,153.7,0,1,6,5
82,"Vijay Shankar
",83,7,7,2,17,16.6,72,115.27,0,0,7,2
83,"Harpreet Brar
",75,13,7,5,29,37.5,54,138.88,0,0,8,2
84,"Dewald Brevis
",69,3,3,0,46,23,59,116.94,0,0,3,5
85,"Mayank Agarwal
",64,4,4,0,32,16,57,112.28,0,0,8,1
